ISBN	Titulo	 Autor	 Categoria	 Ano
3161-2791-575-5890	Dust and Vampires	Eduarda Nunes	Infantil	1987
6072-8559-4158-4486	Ambition and Action	Agatha Jesus	Infantil	1958
1526-8784-1543-401	Action and Rubble	Joana Araujo	Infantil	1960
7160-4619-9247-9543	Frenzy and Skulls	 Maria Vitoria Moura	Infantil	1954
7486-1489-5178-2323	Infinity and Mayhem	Kamilly Alves	Infantil	1932
7633-2213-6055-4234	Logic and Heroes	Diego da Mota	Infantil	1939
5089-1925-2942-9657	Freedom and Dragons	Maria Vitoria Moura	Infantil	1989
3805-2984-23-7859	Dragonlust	Ana Vitoria Cardoso	Infantil	2004
3667-1971-5799-5497	Fusioncry	Eduardo Mendes	Infantil	1917
7543-9464-8793-9460	Blocklight	Lucas Gabriel da Paz	Infantil	2008
7982-4902-1302-4107	Deltazone	Erick Ramos	Infantil	1939
1570-4225-8099-8177	Warcry	Vitor Hugo Silva	Infantil	1916
3519-4932-6915-1083	Antiscape	Lucas Gabriel Silva	Infantil	1942
9820-5440-4361-7869	Farsite	Daniela da Mota	Infantil	1942
1941-2345-310-2499	Datablast	Joao Pedro Mendes	Infantil	1979
1544-4644-6221-8228	Borderrush	Ana Carolina Fogaca	Infantil	1924
7693-1169-5759-2844	Bodystar	Davi Lucas Monteiro	Infantil	1945
4574-1725-9618-6173	Vampire Legacy	Valentina Monteiro	Terror	1928
1574-8639-9801-1874	Primal Armada	Enzo Gabriel da Rocha	Terror	1993
1580-2756-8755-9912	Metal Matters	Andre Jesus	Terror	2009
7825-4821-7303-9938	Atomic Impact	Amanda da Rocha	Terror	2006
761-4955-6032-4224	Death Carnage	Caue da Luz	Terror	2013
5478-3059-1856-1055	Cursed Complex	Marcelo Goncalves	Terror	2001
1895-7094-7354-4484	Mortal Reaver	Barbara da Rosa	Terror	1935
765-5386-9658-1195	Ghost Games	Luiz Gustavo Jesus	Terror	1962
1040-2192-4973-3610	Bullet Breed	Ana Martins	Terror	1926
6053-2088-9380-6441	Brutal Conspiracy	Davi Lucca das Neves	Terror	1956
6349-9121-8765-7328	Fortify of Combat	 Yasmin Costa	Terror	1974
5729-177-6326-5086	Arm of Duplicity	Emanuella Fogaca	Terror	2005
5302-8996-8524-5831	Struggle of Campaigns	Danilo Porto	Terror	1920
9728-7623-5797-6432	Crash of Combat	Carolina Fernandes	Terror	1943
3991-967-8041-8097	Rise of Friction	Maria Clara Cunha	Terror	1990
7907-8182-7766-5966	Revolt of Logic	Pedro Miguel Rezende	Terror	1994
4558-1913-8974-2499	Battle of Regulations	Lorenzo Dias	Terror	2006
3713-3549-9535-6699	Invade of Strife	Eduardo da Cunha	Terror	1964
6684-9708-7186-801	Wipe Out of Aggression	Melissa Fogaca	Terror	1980
7167-8030-3398-531	Demolish of Logic	Sophie Rezende	Terror	1939
1574-6732-5981-6986	Fight and Ghosts	Otavio Alves	Terror	1919
4207-6159-7178-5222	Treasures and Shadow	Ana Carolina Novaes	Terror	1916
4394-8735-321-402	Apocalypse and Days	Luiz Gustavo Nunes	Terror	1914
8423-2401-2725-4877	Knights and Home	Diego Ribeiro	Terror	1912
6817-9732-6118-7571	Fortress and Glitch	 Enrico Aragao	Terror	2021
7397-7255-2244-9150	Dream and Genocide	Alicia Correia	Terror	2005
5774-8876-775-107	Hazard and Galaxy	Marcelo Nascimento	Terror	2003
9828-5128-5269-4568	Raid and Sons	Maria Eduarda Dias	Terror	1955
1882-2046-2783-8138	Symphony and Codename	Gabriela Rezende	Terror	1916
2600-6311-77-7976	Age and Decade	Paulo Jesus	Terror	1960
6360-8467-6241-2973	Innocents and Mutants	Diogo Mendes	Terror	1928
524-844-6715-1936	Ambition and Lies	Pietra da Rosa	Terror	1912
6941-8782-2747-923	Insanity and Nothing	Guilherme Jesus	Terror	1980
5656-6547-8528-719	Nature and Duty	Fernando Correia	Terror	1949
4855-1482-7252-2988	Heroes and Fate	Joao Vitor Lima	Terror	1956
2171-532-4658-1593	Infinity and Mayhem	 Ana Clara da Rocha	Terror	1958
8804-2674-4137-6407	Duty and Mutants	Raquel Caldeira	Terror	1912
2485-7469-9625-8595	Fear and Evil	Luna Souza	Terror	2003
9178-3449-416-6043	Awe and Mayhem	Murilo Pereira	Terror	1946
5580-2813-2473-6106	Reason and Mutants	Levi Jesus	Terror	1912
7781-4336-4788-6730	Bulletsky	Alexandre Novaes	Terror	1939
5121-8898-5431-1674	Ultrasky	Laura Lopes	Terror	1941
9806-375-5567-2331	Blastercraft	Rafael Duarte	Terror	1978
2516-6068-5400-5166	Grimmind	Daniela Correia	Terror	2017
9746-9455-3348-9921	Biofire	Emanuelly Nascimento	Terror	1920
8435-4313-9458-7267	Farrush	Davi Lucca Rocha	Terror	1943
702-59-7069-5619	Masterdude	Maria Cecilia Gomes	Terror	1977
2197-4512-9028-5390	Fusionspace	Igor Novaes	Terror	1916
7471-96-9426-1848	Bladespace	Clarice da Mata	Terror	1986
6200-138-1460-3765	Datahunt	 Enzo das Neves	Terror	1972
1237-2194-6324-2781	Carnivore Matters	Raul Jesus	Humor	1974
455-4918-250-7871	Crimson Rising	Lucca Carvalho	Humor	1957
5775-8729-2620-1154	Covert Legend	Juliana Rezende	Humor	1985
2801-7810-7051-6065	Armed Frontier	Calebe da Rocha	Humor	1917
2992-2009-2331-1305	Cannibal Campaign	Clarice Ramos	Humor	1927
265-1008-2514-6357	Zombie Evolution	Sarah Costa	Humor	1918
4410-5965-4819-9762	Angel Emergency	Ana Julia Nunes	Humor	1927
9421-916-8091-159	Chrome Harvest	 Laura da Conceicao	Humor	2016
541-7638-5495-2514	Emergency Cavern	Igor da Costa	Humor	2000
4415-4672-3965-5397	Hallowed Warfare	Joao Miguel Rezende	Humor	1982
4147-8973-3488-7066	Strife of Truth	Joao Guilherme Pereira	Humor	1920
8664-7308-5690-3667	Bombard of Democracy	 Mariane Monteiro	Humor	1925
4161-5495-1048-9841	Charge of Atonement	Raul da Paz	Humor	1966
8296-9082-6582-4204	Escape of Stipulation	 Joaquim da Luz	Humor	1935
5573-4844-3919-1747	Demolish of Aggression	Diogo Cardoso	Humor	2014
4378-7258-9719-6517	Strike of Wrath	Maria Eduarda Monteiro	Humor	1944
5591-9214-7102-6663	Fortify of Assault	Ana Laura Dias	Humor	1951
3114-5060-9649-908	Counter of Betrayal	Emanuelly Carvalho	Humor	1959
6320-2229-7219-1752	Rescue of Immunity	Lucca Alves	Humor	1942
7044-1802-4030-2875	Defeat of Resitution	Thales Barbosa	Humor	2000
1441-9133-7086-3237	Garden and Embers	 Enzo Gabriel Pires	Humor	1969
8819-9656-8694-463	Revival and Words	 Maria Julia Araujo	Humor	1988
3888-365-8087-8268	Order and Decade	Marcelo Gomes	Humor	1990
2064-6236-2115-6879	Execution and Shadow	Maria Luiza Fogaca	Humor	2010
1192-1732-3343-3795	Weapons and Empire	Vitoria Moura	Humor	1994
3457-8153-7409-8694	Decade and Dynasty	Yasmin Rodrigues	Humor	1960
6358-424-3146-2715	Hunt and Voyage	Diogo Goncalves	Humor	1979
4114-7743-4678-9929	Knights and Chamber	Carlos Eduardo Freitas	Humor	1972
6876-3687-3149-1316	Revenge and Murder	 Bernardo Gomes	Humor	1988
9088-7781-4884-8171	Treasures and Defense	Maria Eduarda Caldeira	Humor	1927
5712-1770-9697-8718	Immortals and Truth	Rebeca Lopes	Humor	1929
6696-107-8230-5550	Infinity and Vampires	 Heitor Barbosa	Humor	1996
5845-9736-8086-1226	Salvation and Existence	Levi Ribeiro	Humor	1939
3338-9720-6637-9070	Evil and Evolution	 Maria Eduarda da Cruz	Humor	1928
7265-57-894-6995	Prototypes and Valor	Ana Sophia da Mata	Humor	1966
1634-304-8007-3175	Victory and Fear	Joao Lucas Rezende	Humor	1976
7160-7459-1430-4228	Faith and Oracles	Otavio Costela	Humor	1995
5558-7293-4837-7168	Werewolves and Power	Renan Costela	Humor	1958
7018-414-5774-7736	Fire and Frenzy	Miguel Pires	Humor	1934
6383-4240-1163-1537	Logic and Rubble	 Rafael Caldeira	Humor	2019
6742-5012-4679-5522	Bodybot	Isadora Barbosa	Humor	1985
8360-4950-349-4038	Ultracry	Heloisa Pereira	Humor	1981
4781-136-6004-5129	Alpharage	Carlos Eduardo Mendes	Humor	1947
4241-1298-4704-7717	Madrush	Isis da Conceicao	Humor	1968
363-9131-9360-1707	Emberline	Danilo Aragao	Humor	1942
5690-8978-7417-8207	Ultraphobia	Maria Fernanda Silva	Humor	2011
7976-4629-6326-6146	Bodyflight	Isabella Ramos	Humor	1979
8771-1703-2829-5813	Bladestar	Maria Luiza Rocha	Humor	1941
2948-4088-616-41	Alterdoom	Isadora Costela	Humor	2002
2120-1738-2032-2936	Dreadplan	Amanda Ribeiro	Humor	1930
8576-4461-7584-6251	Dark Project	 Alana Cardoso	Misterio	2019
8062-4954-8581-4701	Dead Betrayal	Maria Sophia Dias	Misterio	1991
3549-1335-4959-3910	Infinite Alert	Stella Souza	Misterio	2001
8578-8112-8962-7014	Star Breakout	Fernando Pires	Misterio	1941
7326-9738-7433-8949	Warrior Castle	Beatriz Barros	Misterio	1928
5208-7430-9281-6821	Cold Frontier	Davi Porto	Misterio	1981
5010-3117-7584-4591	Parasite Virus	 Kevin Novaes	Misterio	2019
6913-5013-8116-1241	Armageddon Legacy	Joao Lucas Novaes	Misterio	2010
1770-6319-8854-5060	Werewolf Conflict	Larissa Costa	Misterio	2003
7640-5523-4440-9228	Soul Predator	Lucca Fogaca	Misterio	2004
220-7707-2088-1770	Resist of Heroics	Maysa Monteiro	Misterio	1980
7911-3698-503-6753	Retaliate of Law	 Amanda Pinto	Misterio	1915
5652-2281-1205-6185	Fortify of Resitution	 Kaique Dias	Misterio	1940
6315-2624-8233-2416	Incinerate of Prosecution	 Joao Felipe Araujo	Misterio	1963
7727-6637-7195-3589	Guard of Truth	Davi Luiz da Luz	Misterio	1986
9317-2748-8477-5749	Pillage of Salvation	Juan Santos	Misterio	1961
3224-9736-799-6438	Divide of Hypocrisy	 Marina Barros	Misterio	1945
5905-9289-4481-7996	Rule of Invasion	Luiz Felipe Rocha	Misterio	1929
724-4580-5361-7620	Blast of Rule	Alana Pereira	Misterio	1983
1001-5620-9092-8943	Counter of Wrath	Danilo Fogaca	Misterio	1961
6271-1857-2834-4931	Symphony and Sons	Danilo da Rocha	Misterio	1959
5451-5786-6368-9106	Embers and Hunt	Marina da Rosa	Misterio	1954
5962-7784-708-6427	Guns and Escalation	Marcos Vinicius Novaes	Misterio	1920
9668-3777-1917-4664	Echoes and Words	Vicente Costa	Misterio	1975
5881-499-2062-5948	Days and Age	Lais Carvalho	Misterio	2008
8173-8515-1935-6612	Power and Force	Caue Rezende	Misterio	1951
3059-2455-3445-3500	Remorse and Shadow	Luna Peixoto	Misterio	1919
817-5831-4770-2315	Defense and Burial	Alexandre Mendes	Misterio	2022
1007-5716-5654-9645	Weapons and Embers	Ana Sophia Melo	Misterio	1986
349-9231-85-4179	Week and Revenge	Yuri Cardoso	Misterio	1990
4066-5918-6895-7431	Barbarians and Nightmares	 Eduarda Lopes	Misterio	1939
8863-1152-5693-6903	Resistance and Harmony	Rafaela da Cruz	Misterio	1916
3534-5622-9720-1274	Werewolves and Insanity	 Marcela da Rosa	Misterio	1930
1796-3651-2008-2899	Victory and Evolution	Pietra Goncalves	Misterio	2006
8869-4812-3543-3837	Immortals and Doubt	Maria Fernanda Lopes	Misterio	1948
8223-8260-8533-8030	Androids and Liberty	 Camila da Costa	Misterio	1965
8629-6485-6589-7036	Order and Ambition	Nathan Novaes	Misterio	1951
7858-6653-3836-9890	Chaos and Duty	Maria Alice Teixeira	Misterio	1962
3752-2716-2123-1389	Resistance and Power	 Enrico Monteiro	Misterio	1970
8542-130-3244-2734	Power and Misery	Alicia Viana	Misterio	1952
2648-1594-4328-8136	Demonworks	 Elisa Lima	Misterio	2019
7291-4571-7266-7079	Archephobia	Paulo Novaes	Misterio	1997
7773-4705-4442-5767	Madside	 Thiago da Cruz	Misterio	1993
4194-8479-5061-3017	Blockflight	Lavinia Barbosa	Misterio	2004
5146-387-8433-8713	Bulletbot	Eduarda Lima	Misterio	2018
9135-3647-8602-7518	Alphaland	 Rodrigo Campos	Misterio	1948
8340-8262-7708-6100	Farchase	Maysa da Luz	Misterio	1930
2139-4165-5029-8437	Warmania	Pietra da Luz	Misterio	1916
7603-3937-1090-6417	Dragonstorm	Maria Vitoria da Luz	Misterio	1920
6174-7891-8687-668	Deltanite	Ana Sophia Rezende	Misterio	2008
4640-9997-675-8250	Thunder Impact	Kaique da Rocha	Nao-ficcao	2005
6899-6543-108-3167	Phantom Bounty	Vitor Gabriel Peixoto	Nao-ficcao	1961
5117-9892-1479-7162	Human Nightmare	Sabrina Peixoto	Nao-ficcao	1998
5315-588-1950-7777	Chrome Warfare	Thomas Novaes	Nao-ficcao	1914
4423-4726-8090-3651	Combat Escape	Luiz Fernando da Luz	Nao-ficcao	1928
1620-6963-7059-9303	Ghost Cell	Vinicius Caldeira	Nao-ficcao	2020
9349-3217-1641-7803	Special Assault	Davi Duarte	Nao-ficcao	1912
8883-174-7666-191	Just Call	Bryan Rocha	Nao-ficcao	1935
369-7430-2549-2999	Mortal Blade	Alice Correia	Nao-ficcao	1921
5155-6306-6268-8116	Storm Dream	Esther Costa	Nao-ficcao	1984
6766-99-4236-6886	Run of Hypocrisy	 Clara Sales	Nao-ficcao	1922
5196-4474-4163-7174	Demolish of Vengeance	Pietra Cunha	Nao-ficcao	1933
4406-9722-8745-650	Rise of Hypocrisy	Noah Pires	Nao-ficcao	1999
3830-9148-9424-6836	Battle of Betrayal	Luana Lima	Nao-ficcao	2005
418-3064-1669-2157	Resist of Violation	Diego Fogaca	Nao-ficcao	2001
2083-7985-1432-2438	Struggle of Redemption	Raquel Silva	Nao-ficcao	1945
762-3464-2025-9975	Breakout of Lies	Theo Peixoto	Nao-ficcao	1944
3253-6206-9117-74	Clash of Duplicity	 Mariane Mendes	Nao-ficcao	1930
8066-3098-2447-4913	Resist of Betrayal	 Julia Costa	Nao-ficcao	1982
4637-8333-9946-8904	Plan of Lies	 Fernanda da Rosa	Nao-ficcao	1964
5635-2123-4919-2118	Land and Weapons	Isaac Fogaca	Nao-ficcao	2013
7102-3890-4170-1177	Barrage and Defense	Lara Campos	Nao-ficcao	1926
6245-4146-9837-7991	Descent and City	 Caue Sales	Nao-ficcao	1940
5443-9222-2131-1288	Danger and Death	 Vitor Gabriel Nogueira	Nao-ficcao	1939
4017-7417-8492-4922	Chronicle and Planet	Ana Julia Goncalves	Nao-ficcao	2017
4283-3454-3556-9696	Symphony and Echoes	Clara Costa	Nao-ficcao	1938
5642-8562-7220-2209	Doom and Rush	Ana da Cunha	Nao-ficcao	1963
5755-5829-4650-5009	Science and World	Maysa da Mota	Nao-ficcao	1923
4058-4312-4421-9860	House and Dynasty	 Eduardo Souza	Nao-ficcao	1965
4460-5877-7464-4093	Danger and Graves	 Maysa Nogueira	Nao-ficcao	2015
6546-7019-4358-5580	Androids and Nothing	Isaac da Rocha	Nao-ficcao	1930
8542-7265-1684-4946	Hope and Oracles	Lavinia Monteiro	Nao-ficcao	1929
9227-2030-1218-8795	Sanity and Fortune	Diego Pereira	Nao-ficcao	1992
2841-1521-5771-7899	Vampires and Ambition	Ana Luiza Almeida	Nao-ficcao	2013
4101-493-2310-2764	Stealth and Explosions	Levi Caldeira	Nao-ficcao	1985
2724-1860-207-3096	Stealth and Androids	Elisa Lopes	Nao-ficcao	1950
8315-9412-5293-7874	Order and Gangs	Davi Luiz da Cruz	Nao-ficcao	1933
2435-435-96-8686	Fate and Logic	Isabel Goncalves	Nao-ficcao	1991
6101-8512-496-8185	Warfare and Time	Maria Fernanda Duarte	Nao-ficcao	1942
6062-7437-3590-5862	Souls and Misery	Joaquim Nogueira	Nao-ficcao	1978
7809-1736-1358-5879	Crosscell	Gabriela da Luz	Nao-ficcao	1917
8197-3929-7463-2306	Bioreign	Larissa Moura	Nao-ficcao	1932
3505-7902-881-4668	Bloodrain	Joao Miguel da Luz	Nao-ficcao	2012
2681-7525-1911-2640	Deadphobia	Isadora Silveira	Nao-ficcao	1922
9714-273-5277-4579	Bodyblade	Diego Caldeira	Nao-ficcao	1938
7850-7062-5041-8950	Borderpoint	Maria Eduarda Santos	Nao-ficcao	1920
3092-7067-2356-8699	Warshot	Natalia Ramos	Nao-ficcao	2022
8241-2952-5585-1948	Endorsite	Anthony Barbosa	Nao-ficcao	1972
8120-700-9924-5221	Dreaddude	 Enzo Gabriel Ribeiro	Nao-ficcao	1913
9365-9126-4725-3222	Archeheart	Arthur Cavalcanti	Romance	2008
2253-9810-4038-2949	Forgotten Barrage	Murilo Cardoso	Romance	1956
3351-6376-6504-7607	Celestial Warfare	Manuela Costela	Romance	1936
6216-3562-4405-2980	Killing Panic	Pietro Cavalcanti	Romance	1912
7384-7842-229-6623	Ghost Curse	Beatriz Monteiro	Romance	2017
2042-621-1015-7747	Blood Age	Sophie Teixeira	Romance	1952
7958-2025-1322-5119	Android Breakout	Renan Nogueira	Romance	1934
2226-8664-2692-8330	Hallowed Syndrome	Leandro da Mata	Romance	1955
7321-6429-858-7014	Soul Elements	 Caue da Paz	Romance	1987
592-7448-2266-6783	Galaxy Bounty	Isaac Almeida	Romance	2017
6441-1256-5172-2613	Storm Agent	Rodrigo da Conceicao	Romance	1975
7498-1858-1427-9955	Besiege of Reason	Matheus Dias	Romance	1968
3725-7801-942-8578	Strategize of Heroes	 Vinicius Moraes	Romance	1920
9140-3657-6240-1510	Strike of Duplicity	Lucas Gabriel Costela	Romance	1977
3102-6482-4535-5981	Knockout of Wrath	 Ana Julia Silveira	Romance	1950
